price,kind,sqft,bed,bath,rating,internet,air-conditioning,television,Satellite/Cable,heater,washing machine,elevator,kitchen,hot tub,fitness room,concierge,parking
95.0,0.0,0.1111111111111111,1.0,1.0,0.9818181999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
150.0,0.0,0.16666666666666666,1.0,1.0,0.9466665999999999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
180.0,0.0,0.05555555555555555,1.0,1.0,0.96,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
110.0,0.0,0.2222222222222222,1.0,1.0,0.98297872,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
275.0,0.0,0.1111111111111111,2.0,2.0,0.95555554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
137.0,0.0,0.1111111111111111,1.0,1.0,0.9473684000000001,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
125.0,0.0,0.16666666666666666,1.0,1.0,0.9617022,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
165.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
129.0,0.0,0.05555555555555555,1.0,1.0,0.9475,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
210.0,0.0,0.1111111111111111,2.0,2.0,0.9827338,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
249.0,4.0,0.1111111111111111,1.0,1.0,0.97230768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
268.0,0.0,0.1111111111111111,1.0,1.0,0.9916666999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
163.0,0.0,0.05555555555555555,1.0,1.0,0.85,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
185.0,0.0,0.1111111111111111,1.0,1.0,0.9803921999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
165.0,0.0,0.05555555555555555,1.0,1.0,0.8863635999999999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
130.0,0.0,0.1111111111111111,2.0,2.0,0.95,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
175.0,0.0,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
95.0,0.0,0.1111111111111111,1.0,1.0,0.9818181999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
150.0,0.0,0.16666666666666666,1.0,1.0,0.9466665999999999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
189.0,0.0,0.1111111111111111,2.0,2.0,0.9461538,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
180.0,0.0,0.05555555555555555,1.0,1.0,0.96,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
110.0,0.0,0.2222222222222222,1.0,1.0,0.98297872,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
275.0,0.0,0.1111111111111111,2.0,2.0,0.95555554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
137.0,0.0,0.1111111111111111,1.0,1.0,0.9473684000000001,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
125.0,0.0,0.16666666666666666,1.0,1.0,0.9617022,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
129.0,0.0,0.05555555555555555,1.0,1.0,0.9475,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
210.0,0.0,0.1111111111111111,2.0,2.0,0.9827338,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
268.0,0.0,0.1111111111111111,1.0,1.0,0.9916666999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
163.0,0.0,0.05555555555555555,1.0,1.0,0.85,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
297.0,0.0,0.16666666666666666,2.0,2.0,0.9915152,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
103.0,0.0,0.1111111111111111,3.0,3.0,0.8333332999999999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
199.0,0.0,0.2222222222222222,2.0,2.0,0.9781818000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
188.0,0.0,0.2222222222222222,3.0,3.0,0.9575758,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
164.0,0.0,0.1111111111111111,2.0,2.0,0.9565216999999999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
150.0,0.0,0.1111111111111111,2.0,2.0,0.9277778,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
245.0,0.0,0.1111111111111111,2.0,2.0,0.8666666999999999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
94.0,3.0,0.1111111111111111,1.0,1.0,0.9777778,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
